Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
c6g.medium,True,arm64,1,1,1,,,2048,default,,Up to 10 Gigabit,315.0,False,0.034
c7g.medium,True,arm64,1,1,1,,,2048,default,,Up to 12.5 Gigabit,315.0,False,0.0363
c6gd.medium,True,arm64,1,1,1,,,2048,default,59.0,Up to 10 Gigabit,315.0,False,0.0384
c8g.medium,True,arm64,1,1,1,,,2048,default,,Up to 12.5 Gigabit,315.0,False,0.03988
c6gn.medium,False,arm64,1,1,1,,,2048,default,,Up to 16 Gigabit,760.0,False,0.0432
c7gd.medium,True,arm64,1,1,1,,,2048,default,59.0,Up to 12.5 Gigabit,315.0,False,0.0454
c8gd.medium,True,arm64,1,1,1,,,2048,default,59.0,Up to 12.5 Gigabit,315.0,False,0.04899
c7a.medium,True,x86_64,1,1,1,,,2048,default,,Up to 12.5 Gigabit,325.0,False,0.05132
c8a.medium,True,x86_64,1,1,1,,,2048,default,,Up to 12.5 Gigabit,325.0,False,0.05389
c8gb.medium,True,arm64,1,1,1,,,2048,default,,Up to 16.66 Gigabit,1562.0,False,0.05925
c8gn.medium,True,arm64,1,1,1,,,2048,default,,Up to 25 Gigabit,760.0,False,0.0593
c7gn.medium,True,arm64,1,1,1,,,2048,default,,Up to 25 Gigabit,521.0,False,0.0624
c6g.large,True,arm64,2,1,2,,,4096,default,,Up to 10 Gigabit,630.0,False,0.068
c7g.large,True,arm64,2,1,2,,,4096,default,,Up to 12.5 Gigabit,630.0,False,0.0725
c6a.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.0765
c6gd.large,True,arm64,2,1,2,,,4096,default,118.0,Up to 10 Gigabit,630.0,False,0.0768
c5a.large,True,x86_64,1,2,2,,,4096,default,,Up to 10 Gigabit,200.0,False,0.077
c8g.large,True,arm64,2,1,2,,,4096,default,,Up to 12.5 Gigabit,630.0,False,0.07976
c7i-flex.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,312.0,False,0.08479
c6i.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.085
c5.large,True,x86_64,1,2,2,,,4096,default,,Up to 10 Gigabit,650.0,False,0.085
c5ad.large,True,x86_64,1,2,2,,,4096,default,75.0,Up to 10 Gigabit,200.0,False,0.086
c6gn.large,False,arm64,2,1,2,,,4096,default,,Up to 25 Gigabit,1235.0,False,0.0864
c8i-flex.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,315.0,False,0.08902
c7i.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.08925
c7gd.large,True,arm64,2,1,2,,,4096,default,118.0,Up to 12.5 Gigabit,630.0,False,0.0907
c8i.large,True,x86_64,1,2,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.09371
c5d.large,True,x86_64,1,2,2,,,4096,default,50.0,Up to 10 Gigabit,650.0,False,0.096
c8gd.large,True,arm64,2,1,2,,,4096,default,118.0,Up to 12.5 Gigabit,630.0,False,0.09798
c4.large,False,x86_64,1,2,2,,,3840,default,,Moderate,500.0,False,0.1
c6id.large,True,x86_64,1,2,2,,,4096,default,118.0,Up to 12.5 Gigabit,650.0,False,0.1008
c7a.large,True,x86_64,2,1,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.10264
c3.large,False,"i386,x86_64",1,2,2,,,3840,unsupported,32.0,Moderate,,False,0.105
c8a.large,True,x86_64,2,1,2,,,4096,default,,Up to 12.5 Gigabit,650.0,False,0.10777
c5n.large,True,x86_64,1,2,2,,,5376,default,,Up to 25 Gigabit,650.0,False,0.108
c6in.large,True,x86_64,1,2,2,,,4096,default,,Up to 25 Gigabit,1562.0,False,0.1134
c8gn.large,True,arm64,2,1,2,,,4096,default,,Up to 30 Gigabit,1250.0,False,0.1185
c8gb.large,True,arm64,2,1,2,,,4096,default,,Up to 20 Gigabit,3125.0,False,0.1185
c7gn.large,True,arm64,2,1,2,,,4096,default,,Up to 30 Gigabit,1042.0,False,0.1248
c1.medium,False,"i386,x86_64",2,1,2,,,1740,unsupported,350.0,Moderate,,False,0.13
c6g.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 10 Gigabit,1188.0,False,0.136
c7g.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.145
c6a.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.153
c6gd.xlarge,True,arm64,4,1,4,,,8192,default,237.0,Up to 10 Gigabit,1188.0,False,0.1536
c5a.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 10 Gigabit,400.0,False,0.154
c8g.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.15952
c7i-flex.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,625.0,False,0.16958
c5.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 10 Gigabit,1150.0,False,0.17
c6i.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.17
c5ad.xlarge,True,x86_64,2,2,4,,,8192,default,150.0,Up to 10 Gigabit,400.0,False,0.172
c6gn.xlarge,False,arm64,4,1,4,,,8192,default,,Up to 25 Gigabit,2375.0,False,0.1728
c8i-flex.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,630.0,False,0.17804
c7i.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.1785
c7gd.xlarge,True,arm64,4,1,4,,,8192,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.1814
c8i.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.18742
c5d.xlarge,True,x86_64,2,2,4,,,8192,default,100.0,Up to 10 Gigabit,1150.0,False,0.192
c8gd.xlarge,True,arm64,4,1,4,,,8192,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.19596
c4.xlarge,False,x86_64,2,2,4,,,7680,default,,High,750.0,False,0.199
c6id.xlarge,True,x86_64,2,2,4,,,8192,default,237.0,Up to 12.5 Gigabit,1250.0,False,0.2016
c7a.xlarge,True,x86_64,4,1,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.20528
c3.xlarge,False,x86_64,2,2,4,,,7680,supported,80.0,Moderate,500.0,False,0.21
c8a.xlarge,True,x86_64,4,1,4,,,8192,default,,Up to 12.5 Gigabit,1250.0,False,0.21554
c5n.xlarge,True,x86_64,2,2,4,,,10752,default,,Up to 25 Gigabit,1150.0,False,0.216
c6in.xlarge,True,x86_64,2,2,4,,,8192,default,,Up to 30 Gigabit,3125.0,False,0.2268
c8gb.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 26.66 Gigabit,6250.0,False,0.237
c8gn.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 40 Gigabit,2500.0,False,0.237
c7gn.xlarge,True,arm64,4,1,4,,,8192,default,,Up to 40 Gigabit,2083.0,False,0.2496
c6g.2xlarge,True,arm64,8,1,8,,,16384,default,,Up to 10 Gigabit,2375.0,False,0.272
c7g.2xlarge,True,arm64,8,1,8,,,16384,default,,Up to 15 Gigabit,2500.0,False,0.29
c6a.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 12.5 Gigabit,2500.0,False,0.306
c6gd.2xlarge,True,arm64,8,1,8,,,16384,default,474.0,Up to 10 Gigabit,2375.0,False,0.3072
c5a.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 10 Gigabit,800.0,False,0.308
c8g.2xlarge,True,arm64,8,1,8,,,16384,default,,Up to 15 Gigabit,2500.0,False,0.31904
c7i-flex.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 12.5 Gigabit,1250.0,False,0.33915
c5.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 10 Gigabit,2300.0,False,0.34
c6i.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 12.5 Gigabit,2500.0,False,0.34
c5ad.2xlarge,True,x86_64,4,2,8,,,16384,default,300.0,Up to 10 Gigabit,800.0,False,0.344
c6gn.2xlarge,False,arm64,8,1,8,,,16384,default,,Up to 25 Gigabit,4750.0,False,0.3456
c8i-flex.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 15 Gigabit,1250.0,False,0.35608
c7i.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 12.5 Gigabit,2500.0,False,0.357
c7gd.2xlarge,True,arm64,8,1,8,,,16384,default,474.0,Up to 15 Gigabit,2500.0,False,0.3629
c8i.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 15 Gigabit,2500.0,False,0.37484
c5d.2xlarge,True,x86_64,4,2,8,,,16384,default,200.0,Up to 10 Gigabit,2300.0,False,0.384
c8gd.2xlarge,True,arm64,8,1,8,,,16384,default,474.0,Up to 15 Gigabit,2500.0,False,0.39192
c4.2xlarge,False,x86_64,4,2,8,,,15360,default,,High,1000.0,False,0.398
c6id.2xlarge,True,x86_64,4,2,8,,,16384,default,474.0,Up to 12.5 Gigabit,2500.0,False,0.4032
c7a.2xlarge,True,x86_64,8,1,8,,,16384,default,,Up to 12.5 Gigabit,2500.0,False,0.41056
c3.2xlarge,False,x86_64,4,2,8,,,15360,supported,160.0,High,1000.0,False,0.42
c8a.2xlarge,True,x86_64,8,1,8,,,16384,default,,Up to 15 Gigabit,2500.0,False,0.43108
c5n.2xlarge,True,x86_64,4,2,8,,,21504,default,,Up to 25 Gigabit,2300.0,False,0.432
c6in.2xlarge,True,x86_64,4,2,8,,,16384,default,,Up to 40 Gigabit,6250.0,False,0.4536
c8gb.2xlarge,True,arm64,8,1,8,,,16384,default,,Up to 33.33 Gigabit,12500.0,False,0.474
