Type,CurrentGen,Arch,CpuCores,CpuThreadsPerCore,VCpu,GpuCount,GpuName,MemoryMiB,EbsOnly,InstanceStorage,NetPerf,EbsBwMbps,HasGPU,USDPerHr
r6g.medium,True,arm64,1,1,1,,,8192,default,,Up to 10 Gigabit,315.0,False,0.0504
r7g.medium,True,arm64,1,1,1,,,8192,default,,Up to 12.5 Gigabit,315.0,False,0.0536
r6gd.medium,True,arm64,1,1,1,,,8192,default,59.0,Up to 10 Gigabit,315.0,False,0.0576
r8g.medium,True,arm64,1,1,1,,,8192,default,,Up to 12.5 Gigabit,315.0,False,0.05891
r7gd.medium,True,arm64,1,1,1,,,8192,default,59.0,Up to 12.5 Gigabit,315.0,False,0.068
r8gd.medium,True,arm64,1,1,1,,,8192,default,59.0,Up to 12.5 Gigabit,315.0,False,0.07348
r7a.medium,True,x86_64,1,1,1,,,8192,default,,Up to 12.5 Gigabit,325.0,False,0.07608
r8a.medium,True,x86_64,1,1,1,,,8192,default,,Up to 12.5 Gigabit,325.0,False,0.07988
r8gb.medium,True,arm64,1,1,1,,,8192,default,,Up to 16.66 Gigabit,1562.0,False,0.09109
r8gn.medium,True,arm64,1,1,1,,,8192,default,,Up to 25 Gigabit,760.0,False,0.0911
r6g.large,True,arm64,2,1,2,,,16384,default,,Up to 10 Gigabit,630.0,False,0.1008
r7g.large,True,arm64,2,1,2,,,16384,default,,Up to 12.5 Gigabit,630.0,False,0.1071
r5a.large,True,x86_64,1,2,2,,,16384,default,,Up to 10 Gigabit,650.0,False,0.113
r6a.large,True,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.1134
r6gd.large,True,arm64,2,1,2,,,16384,default,118.0,Up to 10 Gigabit,630.0,False,0.1152
r8g.large,True,arm64,2,1,2,,,16384,default,,Up to 12.5 Gigabit,630.0,False,0.11782
r6i.large,False,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.126
r5.large,True,x86_64,1,2,2,,,16384,default,,Up to 10 Gigabit,650.0,False,0.126
r5ad.large,True,x86_64,1,2,2,,,16384,default,75.0,Up to 10 Gigabit,650.0,False,0.131
r8i-flex.large,True,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,315.0,False,0.13197
r7i.large,True,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.1323
r4.large,False,x86_64,1,2,2,,,15616,default,,Up to 10 Gigabit,425.0,False,0.133
r7gd.large,True,arm64,2,1,2,,,16384,default,118.0,Up to 12.5 Gigabit,630.0,False,0.1361
r8i.large,True,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.13892
r5d.large,True,x86_64,1,2,2,,,16384,default,75.0,Up to 10 Gigabit,650.0,False,0.144
r8gd.large,True,arm64,2,1,2,,,16384,default,118.0,Up to 12.5 Gigabit,630.0,False,0.14696
r5b.large,True,x86_64,1,2,2,,,16384,default,,Up to 10 Gigabit,1250.0,False,0.149
r5n.large,True,x86_64,1,2,2,,,16384,default,,Up to 25 Gigabit,650.0,False,0.149
r6id.large,True,x86_64,1,2,2,,,16384,default,118.0,Up to 12.5 Gigabit,650.0,False,0.1512
r7a.large,True,x86_64,2,1,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.15215
r8a.large,True,x86_64,2,1,2,,,16384,default,,Up to 12.5 Gigabit,650.0,False,0.15976
r3.large,False,x86_64,1,2,2,,,15360,unsupported,32.0,Moderate,,False,0.166
r5dn.large,True,x86_64,1,2,2,,,16384,default,75.0,Up to 25 Gigabit,650.0,False,0.167
r6in.large,True,x86_64,1,2,2,,,16384,default,,Up to 25 Gigabit,1562.0,False,0.17433
r8gb.large,True,arm64,2,1,2,,,16384,default,,Up to 20 Gigabit,3125.0,False,0.18218
r8gn.large,True,arm64,2,1,2,,,16384,default,,Up to 30 Gigabit,1250.0,False,0.1822
r7iz.large,True,x86_64,1,2,2,,,16384,default,,Up to 12.5 Gigabit,792.0,False,0.186
r6idn.large,True,x86_64,1,2,2,,,16384,default,118.0,Up to 25 Gigabit,1562.0,False,0.19539
r6g.xlarge,True,arm64,4,1,4,,,32768,default,,Up to 10 Gigabit,1188.0,False,0.2016
r7g.xlarge,True,arm64,4,1,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.2142
r5a.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 10 Gigabit,1085.0,False,0.226
r6a.xlarge,True,x86_64,2,2,4,,,32768,default,,Up to 12.5 Gigabit,1250.0,False,0.2268
